,predicted,sentiment,text,textID
1,neutral,positive, Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,96d74cb729
2,neutral,negative,"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",eee518ae67
4,neutral,positive, http://twitpic.com/4w75p - I like it!!,33987a8ee5
6,neutral,negative,I THINK EVERYONE HATES ME ON HERE   lol,261932614e
7,neutral,negative," soooooo wish i could, but im in school and myspace is completely blocked",afa11da83f
10,neutral,negative,My bike was put on hold...should have known that.... argh total bummer,24c92644a4
13,neutral,negative,"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",5c1e0b61a1
14,neutral,negative,Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,504e45d9d9
15,neutral,negative,"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",ae93ad52a0
17,neutral,negative,Cramps . . .,00d5195223
18,neutral,positive, you guys didn`t say hi or answer my questions yesterday  but nice songs.,33f19050cf
20,neutral,negative,Stupid storm. No river for us tonight,9ef44428d0
21,neutral,negative,My dead grandpa pays more attention to me than you do,be634ebeb0
22,neutral,negative,"... need retail therapy, bad. AHHH.....gimme money geebus",3dcf4f7e13
24,neutral,negative, you are lame  go make me breakfast!!,8be365118e
25,neutral,positive, thats so cool,c50bdd4567
28,neutral,positive, look who I found just for you  --->  http://twitter.com/DJT2009,1fa8e6ad66
29,neutral,negative,"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",be38b29042
35,neutral,positive,Watching Body of Lies...good film,cce5c4744a
38,neutral,negative, I`m sorry  at least it`s Friday?,6d846d7d50
39,neutral,negative,"feels sorry every time I`m printing out, I use like 200 new papers",599f51af6b
40,neutral,negative, 4n? ma rog  never heard of it  esti beat acum? u tweet too much,87daa62920
44,neutral,positive," Hi there.  I agree!  Small children should be running about happy, not breaking down in tears",d3d7b13278
45,neutral,positive,  Hope ur havin fun in da club,ddc07db84e
47,neutral,positive,thinks SG is wonderful,17d18ba9ef
48,neutral,negative,  im really sorry i know wallah how u feel this life is shittttttttt,ab57d75f20
49,positive,negative,Not happy,f0acd25d8e
52,neutral,negative,I`m so very tired...and have insomnia.,614aed9113
55,neutral,positive," You seem nice, you`re generous and you know your stuff",a0bfb12773
59,neutral,positive,   Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!,fe1deac869
63,neutral,negative,"Dear rain, you suck. Now I gotta change my plans for tonight",7d87899024
65,neutral,negative,I just cried whilst watching hollyoaks  .. i need a life! lol,c31d79c440
66,neutral,positive,"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",32ee7ef6c2
68,neutral,negative," for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!",d41fe360e4
70,neutral,positive,"On the monday, so i wont be able to be with you!  i love you",25e42b2bf2
71,neutral,positive," Ur so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek  Make more flicks!",5843d17b1d
74,neutral,positive,_LaMont yr very young looking dude,972dc5787d
75,neutral,negative,": hmmm, wrong link, ignore my tweet",0ba6aaf9aa
76,neutral,negative,AT&T cheated the system and now I have no Green Day tickets  **** you AT&T!,7a81537034
77,neutral,negative,Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.,311d2b185b
78,neutral,positive," yep, i wish they were all playing dubiln",1e46d72ec6
80,neutral,positive, Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!,58129e4130
83,neutral,positive,Happy Birthday Snickers!!!! ? I hope you have the best day ever! Let`s go shopping!!!,a14b4ff440
84,neutral,positive, Thank you!  I`m working on `s,5d57a5eda2
86,neutral,negative,Not feeling all that well today,c2ea5cb58b
87,neutral,negative,"http://twitpic.com/4wp8s - My ear hurts, and THIS is my medicine. GUM",cde0016d6d
90,neutral,negative,The underwire in my bra is sticking out and poking me in the armpit,76da985a47
96,neutral,negative,i just watched Marley & Me...i cried so hard!,c238c4dbb7
99,neutral,positive, haaaw..well i get out of class at 10:50..i hope i make it,eb2fc4d281
102,neutral,positive,"Just had a great study time followed by a delicious Japanese meal with Arty! Now, trying to get back into the study mood",3ab338c459
103,neutral,negative,FML not having a car is prohibiting finding a job,c7c7f7f025
105,neutral,positive, I want to see David cook!!,990cdeae87
109,neutral,negative, yeah i need his fricken cell number ive tried his home for months and hes too busy. i miss braddddddddd,297f7d9e0f
113,neutral,positive, yay about breaking 200!,322546026e
115,neutral,positive, i always have those for my Champions League parties  Tis awesome,e96d849b35
116,neutral,positive," well, not all. just stay away from those kinds and surround yourself with those who don`t. happy mother`s day to ur mom, treiz!",124e30d941
118,neutral,negative, thats rough. hubby had knee surgery but it did help him in the end. Let us know the results. We`ll keep him in our prayers,e90acf3c42
120,neutral,positive,"Playin City of Villains, wishin my buddies were playin with me.....",a11da2d3bf
121,neutral,positive," yep - three things: a good haircut, the ability to listen and the value of not taking yourself too seriously",161bfc7c8a
124,neutral,positive, I liked it.  Did you record it yourself?  If so you have a very soothing voice.,43e91a5488
126,neutral,positive," Folks thought it was hilarious when I told them the story, and then they saw the shirt I wore tonight.  Laughter all night.",b3eadfc565
134,neutral,positive,"just got home from a nice party, just not tired yet",cbee1946d3
137,neutral,positive,I wish I could go to #BEA this weekend.,bcb9426abb
139,neutral,positive, love your books,3f0f5891ab
140,neutral,negative,ok so this eye doctor guy is taking forever and i`m sitting in a cold room by myself...what? A jerk!,0b34e66ea3
141,neutral,negative,Im Slowing on My Tweets..Cuase I Lost My Phone,11de8c0456
142,neutral,positive, well thank your phone for me.,d5712716e9
143,neutral,positive, why would they take a photo with stuffed animals?! that`s pretty funny,3f90f95beb
145,neutral,positive,tikcets are only ï¿½91...each...BUT I SO WANT TO GO,7223fdccc2
147,neutral,negative, It`s gonna be hot here today too. today is Ryan`s last day of pre-k. I can`t believe it!  I`ve been a SAHM since I had him!,256453d14f
149,neutral,negative,"Oh, **** me. I`ve just returned from the Supermarket Of Doom to find that I have nothing to drink here.",37227c0dbf
151,neutral,positive,"D-group Saturday`s, with a little bit of football, an hour nap, 3 hours of soccer, basketball in the TSU and Yogurtland... Life`s Good",ca223af36e
152,neutral,positive,just set up a new computer again. 15min. I love Norton Ghost.,90977e9614
153,neutral,positive,Ahhh my mommie got me new sheets for my bed  so comfy,433b1ab9ea
156,neutral,negative,is pretty dang tired. but chambers class is for napping.,14760477ad
157,neutral,negative,i have to poop...   is hogging the shitter,da908a6635
160,neutral,positive,Hahaha! Alright  ..,6634c62acf
161,neutral,positive, Aren`t you suppossed to support the local economy ... LOL ... good for you and congrats,c7240790da
166,neutral,positive," E.L.O.  wow, brings back so many happy memories.  LOVE this band!..and yes, I know I`m showing my age but I don`t care",e34af4fd97
167,neutral,positive, that`s a very cute picture ... but you don`t get fat from licking BBQs ... he must have found some chops on someone else`s ...,0e8aa10a4e
168,neutral,positive, oh i love sunday mornings like this - mum just made scrambled eggs on toast,29148dc95c
169,neutral,negative,"hate working when its sunny,boohoo",56a15cf6ca
172,neutral,negative,Wondering if i cld make things any worse than they already are... answer.. JUST DID!!!,5ff525b74b
174,neutral,negative,Twitter has spoiled all the fun. Frustratingly slow!!  couldnt even bid properly!,e77a8f8f2d
175,neutral,positive,_chick haha. I completely agree,4ea7102112
178,neutral,positive,Going to bed after a great night with a friend  glad to know she has the same feelings about classes as someone else,cdd172d6a7
179,neutral,negative," many! mine included. ahem. shld have known better back then, wldn`t have missed so many opportunities haha",d2a21b3cb7
180,neutral,positive,it`s nice to leave the office when the sun is still up,799e17e7a7
181,neutral,negative,I will miss the soccer moms,0a49cdbdf6
187,neutral,negative,just watched yes man. bahaha. that movie is messed up,9ac13b3739
188,neutral,negative, Sadly I think I know exactly were you put it--in the expired drawer   Those things have a life span of less than two years,16ee71e6df
189,neutral,negative," Too much? No, not unless one of the pillows ends up suffocating the one sleeping next to you.",f5d47f04f5
191,neutral,negative,Wow that was fast...next up Soderling or Ferrer. Gilles Simon lost,bc6d7b4364
193,neutral,positive, glad to know that the ad display problem was due to a firewall config at yr office. phew!,e4ad1684bb
194,neutral,positive, woot!,f7835156a5
198,neutral,positive,Happy #StarWarsDay. May the 4th be with you!  From everyone _paintball,be9ed19513
200,neutral,negative,St joe is dirty.,2f883c6eb1
204,neutral,negative,sick to my stomach.. and i have a headache.. i wish someone could come rub my temples.,64ddc1f8a2
205,neutral,negative, ****! natalya! you gotta tell me whats going on!!! i`d call you but i lost all my phone numbers when i broke my blackberry,03f6b8d900
206,neutral,negative,just thought about how unfair 3 ppl have been 2 me n got depressed again  HATERS!!!,2d475b1b23
209,neutral,positive, Panchito`s burfday party tonight... wish you were here kiddo!,96ec2855e4
212,neutral,positive,the best things in life are free  x,fc49e426f5
213,neutral,positive,misses my Mom today. She was my Best Friend and even though she has been gone several yrs I still miss her dearly. Happy Mother`s Day,a172818c9e
214,neutral,negative,I am watching Blood + on veoh episode 19 love the music.wishing i could watch the live action but not old enough,036191bb61
217,neutral,negative,http://twitpic.com/665jw The racoons ate our bread!,fd10f463c9
218,neutral,positive,Be sure to let the moms you know how fabulous you think they are!!   Almost Mother`s Day.,e6e02e1be6
220,neutral,negative,No launch today. Teacher changed plans and we watched a stupid move about tesla,0f89951346
221,neutral,positive,  it`s very pleasant. i sooo rarely just have time to kill...,f3ec0395b0
222,neutral,positive, thank you!! ooh I see you`ve read Desert Islands http://is.gd/ys6K great book!,37ffa83550
223,neutral,positive,__O lol but tiz a good song,cb8c730261
225,neutral,negative,"@_Anix_ I bought cheesecake ice cream last week, thinking it was good, and it sucked so much.   I`m taking yours.",4fed31099f
229,neutral,negative,sorry for my lack of tweets  ive been buzy. new vid this saturday!!,d25c4179f6
230,neutral,positive," I do my humble best  Going on a works paintball day soon so that should fuel a few strips, no doubt",6cd35dd82e
231,neutral,negative,going to bed  cant take thiss any longeerr maan. [U],65275b51e2
232,neutral,positive,_Morden ..be at richard`s. if not then i`ll see you when you/we get back  good luck!,9fae9e3145
234,neutral,negative,Spent the last hour signing yearbooks. I`ll miss you guys!,df3c7485ae
235,neutral,positive,And I just love every little thing about you...,bd8ba2ad7e
236,neutral,negative,My mobile has stopped recieving text messages AGAIN. Stoooopid thing,58be40735c
239,neutral,negative,_Oyler Poor little woman with her smushed in head,a8e17db0cc
240,neutral,positive,is fixin to clean the house for my mom for mother`s day,abda0ac082
242,neutral,negative, Hey! That`s my school! I hate that place.,53969f2468
243,neutral,negative, i did i only got 3 stars on the pre wash then failed the rince,4df63939ef
244,neutral,positive,MY SiSTER iN LAW JUST LEFT FOR HER PROM!! SHE LOOKED SOO PRETTY.. TEARS ALL AROUND,f43efa3560
247,neutral,negative,I`m really bored! My brother went to get his permit! Stay off the roads! Jk lol! It feels like all my friends have abandoned me! Except 1,ca333e378d
